nace_r2,sizeclas,indic_lc,currency,geo\time	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 
B,TOTAL,LC_H,EUR,PT	12.28 	12.07 	11.07 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,TOTAL,LC_H,EUR,RO	8.51 	8.22 	9.89 	8.96 	6.99 	6.10 	4.90 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,TOTAL,LC_H,EUR,SI	20.24 p	19.62 p	18.45 p	19.42 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,TOTAL,LC_H,EUR,SK	9.60 	9.14 	8.88 	8.20 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,TOTAL,LC_H,EUR,UK	29.28 	28.76 	27.79 	28.53 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,TOTAL,LC_H,NAC,BG	11.59 	10.76 	9.48 	8.43 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,TOTAL,LC_H,NAC,CH	: 	52.35 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,TOTAL,LC_H,NAC,CY	17.40 	16.87 	16.95 	17.20 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,TOTAL,LC_H,NAC,CZ	327.40 	313.51 	297.61 	303.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,TOTAL,LC_H,NAC,EE	9.88 	9.40 	9.11 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,TOTAL,LC_H,NAC,ES	25.71 	25.15 	23.12 	22.21 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,TOTAL,LC_H,NAC,HU	2396.10 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,TOTAL,LC_H,NAC,IE	28.29 	26.46 	28.14 	29.56 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,TOTAL,LC_H,NAC,LT	21.63 	21.75 	23.08 	25.75 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,TOTAL,LC_H,NAC,LV	4.21 	4.21 	4.22 	4.23 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,TOTAL,LC_H,NAC,NL	66.96 	58.73 	55.48 	56.06 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,TOTAL,LC_H,NAC,PT	12.28 	12.07 	11.07 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B,TOTAL,LC_H,NAC,RO	36.09 	34.63 	41.94 	33.01 	23.30 	21.50 	17.75 	: 	: 	: 	: 	: 	: 	: 	: 	: 
